Treatment,Rep,Genotype,dT3,gT3,aT3,dT,gT,aT,TotalTocotrienols,TotalTocopherols,TotalTocochromanols,TotalCarots,gT3_met_2019
control,1,B73,1.196833333,29.412,15.192,5.003333333,39.2886,5.689,45.83016667,49.898,95.3896,150867,0.4549610802
light,1,B73,1.0135,31.05,13.9635,4.764,36.00033333,5.677666667,45.8885,46.44166667,93.18833333,147433.5,1.4421332303
dark,1,B73,1.159,25.99133333,14.70066667,0.041666667,3.159,2.041,43.43,5.627,47.35333333,144654.6667,0.4448434195
light,1,B97,1.601666667,28.8285,6.1915,0.539,33.4135,7.425333333,36.238,40.33766667,76.757,100513,0.2346518474
dark,1,B97,1.54775,24.64266667,5.921,0.014428571,3.490714286,4.087666667,32.03283333,7.667166667,39.70016667,95565.28571,0.4829236219
control,1,B97,1.644333333,24.91583333,5.7112,0.224,15.36816667,5.7072,32.59166667,21.496,54.0875,94979.33333,-0.943921942
dark,1,OH7B,0.6055,26.532,5.467333333,0.0935,4.218,0.619666667,32.8255,4.909,38.28733333,254932.6667,2.0677825459
light,1,OH7B,0.601,21.644,4.127,2.3905,42.921,0.9625,26.372,46.2735,72.646,218828.5,1.1562731703
control,1,OH7B,0.88625,24.54775,4.79775,2.6355,41.4125,1.018666667,30.23175,45.053,75.2845,250856.75,0.120244479
control,2,B73,1.143857143,28.73,14.8224,4.283714286,39.02628571,6.094571429,45.7994,49.40442857,94.25014286,174495.6667,-0.45496108
dark,2,B73,1.089,25.3245,14.5595,0.026333333,1.783,1.884333333,41.78966667,3.909333333,45.699,146703,-0.44484342
light,2,B73,0.98,28.8882,15.394,5.762166667,43.6118,5.7014,46.347,55.5314,100.4915,155133,-1.44213323
dark,2,OH7B,0.636666667,23.43233333,5.19525,0.109,4.883,0.581333333,29.11766667,5.573,34.69066667,248116.75,-2.067782546
control,2,OH7B,0.6285,24.3675,5.524,2.183,41.234,1.017,30.5205,44.4345,74.9545,261987,-0.120244479
control,2,B97,1.767833333,26.3308,5.724666667,0.2915,16.7855,5.625,34.0244,22.70166667,57.2256,92757.8,0.9439219422
dark,2,B97,1.5094,23.91875,5.42075,0.00925,3.1126,3.4958,30.88975,6.551666667,37.20675,90845.6,-0.482923622
light,2,B97,1.40975,28.47675,5.814,0.484,28.04775,5.780333333,35.84025,34.79533333,70.23066667,104363.8,-0.234651847
light,2,OH7B,,,,,,,,,,,
